MP Police,,
item,count,ref_nos
badgaon ( distt.- barwani ),1,22/2024-25/2
tenders are invited for contruction material,1,QM/208/2019
construction of mahila desk at police thana tirla distt. dhar,1,12/2018-19/28
hatpipliya,1,NIT 11/2024-25_4
grading work of old 48 qtrs constable,1,22/2020-21 Grading work of 48 Qtrs police Lind Kat
external electrification work for civil line distt morena,1,07/2022-23
2nd call for tower shifting,1,P-229/2022  DT 25/08/2022
construction of police chowki at sihawal dist sidhi,1,03/2020-21
kitchen/ store room,6,"26/2024-25, 25/2024-25, 20/2024-25, 29/2024-25, 01/2025-26, 04 / 2025-26"
omni directional digital voice recorder,1,"SB/STORE/2020-25 (349), BHOPAL DATED 17-8-2020"
renovation work of govt. nehru degree college at budhar,1,16/2021-20 Const. and Rennovation Budhar
repairing work of different building drp line indore,1,12/2018-19/1
ri 20 qtrs of 36,1,01/2024-25
construction of toilet block near mess at p. r. t. s. indore,1,07/2019-20/2
bty charger,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
wall,1,01/2024-25 Date 29-11-2024
toilet renovation,1,21/2023-24
construction of mahila desk at thana kanhiwara distt seoni,1,14/2018-19/31
repairing work of first floor rooms,1,02/2024-25
construction of child friendly room as per tender document,2,"136-A, 123-B"
construction of male,1,30/2024-25
d- 19,1,Nit No. 09/2018-19
repairing of 50 houses at mit police colony,1,repairing of 50houses at MIT police colony
result for construction of male toilet at new control room bhopal,1,172
cctns project work for electrical at ashoknagar shivpuri sheopur,1,26/208-19
and banda.,1,12/2021-22
construction of c. m. rise school sabakheda,1,NIT 14/2022-23_4
renovation c1 bhadbhada road,1,19/2020-21
construction of highway check post at kosmi naka ( rajegaon ) balaghat.,1,09 / 2022-23
33,1,06/2025-26
mahila desk at thana beejadehi betul,1,15/2018-19
const. work in old police line distt panna,1,2040
external electrification work of govt higher secondary school,1,42/2023-24
repairing work of rfsl lab,1,12/2019-20
construction of separate room toilet for ladies fir room at thana badhoni distt datia,1,25/2019-20
construction of one room in unit hospital at 26 bn guna,1,02/2024-25
guest house,1,09/2023-24
sewer line at c. i. d office indore ( m. p. ),1,01/2024-25/8
car remote opening tools,1,"SB/STORE/2020-25 (399), BHOPAL DATED- 25-9-2020"
purchase of dry grass for horses of mounted troop 7th battalion,1,BN/SAF/MTD/104/2022 Dated 14/02/2022
riot drill equpment,1,PHQ/14/Arms/3169-1/24
namak,1,6bn/saf/jbp/mtd/e tender/a/2517/21
tshirts half slave round neck,1,"PHQ/HAWK FORCE/QM/C-1006/BHOPAL, DT. 04/11/2019"
store room at horse riding acadmey gorengaon bhopal,1,29/2022-23
construction of mahila desk ( fir room ) nagod dist. satna,1,16/2018-19
food canteen construction,1,15bn/qm/p-861
construction of 1 no. septic tank,1,11 / 2021 - 22
jaora distt. ratlam,2,"NIT 13/2022-23_1, 20/2019-20-6"
construction of firing rang ( balance work ) tigni distt- jabalpur,1,05/2018-19
1x200 kva transformer with ht line with street light ),7,"NIT 20/2024-25_3, NIT 07/2024-25_1, NIT 15/2024-25_1, NIT 15/2024-25_3, NIT 15/2024-25_4, NIT 15/2024-25_2, NIT 20/2024-25_1"
commissioning of stp tank with required machinery motor pumps,1,12/2019-20
rsp tool kit,2,"SB/STORE/2022-25(281) BHOPAL DATED 10-10-2022, SB/STORE/2020-25 (399), BHOPAL DATED- 25-9-2020"
rampayli distt. balaghat.,1,11 / 2021 - 22
construction of police chouki jhakri dist bhind,1,29/2019-20
construction new work let,1,SP HEADQUATER 1782
external electrification work of r f s l rewa,1,15/2022-23
grp residential quarters outer wall painting,1,I-2510
profile sheet work at old type f qtr,1,01/2024-25
construction of chowkey badodiya sagar,1,21/2019-20
construction of balance work 02 f,2,"07/2022-23, 05/2022-23"
outer side painting work of police thana jivajiganj,1,SP/Ujjain/RI/3529I/2023
procurement,8,"F-52/2022  Dt.12/01/2022, F-55/2022  Date 12/01/2022, 004, F-728/2021 Date 01/09/2021, F-819/2021  Date 30/09/2021, 002, F-824-A/2020  Date 27/11/2020, F-84-A/2020  DT. 27/02/2020"
renovation work at hostel building cricket stadium at ranital jabalpur,1,16/2018-19
construction of kitchen with store room with profile sheet for 148 btn. crpf at chowki saletekri,1,12 / 2022-23
mahila desk at thana sohagpur hoshangabad,1,15/2018-19
10 icu ward with 6g,2,"05/2022-23, 35/2022-23"
construction of stp for 08 go,2,"12/2020-21 Khargone, 12/2020-21 Burhanpur"
construction of mini stadium rahatgarh sagar,1,07/2020-21
administrative school bhawan including cleaning the site after removal of debris from the site at govt. boys higher secondary school bairasia bhopal under cm rise scheme,1,16/2022-23
construction of training hall at 15 bn. s. a. f.,1,12/2023-24/1
flooring,2,"NIT 11/2020-21_5, NIT14 2023-24"
2 police line mahila thana control room narmadapuram,1,03/2024-25
supply of 4 qty optical comprator for finger print,1,2179/20
construction of highway check post chorahta distt rewa,1,09/2021-22
construction work of girls hostel building at district sports acadmey,1,16/2021-22
gsr- detection system,1,No/PHQ/15/GPC/4579-1/2022
#NAME?,1,08/2019-20
upgradation work at thana jhanshi road distt gwalior,1,23/2022-23
construction of amar jawan memorial at police line sheopur,1,12/2020-21
special repairing work at thana sohagpur dist. narmadapurm,1,15/2022-23
supply of civil mechanical electrical drawing desing with calculation for 12,1,12/2019-20
badod distt. agar malwa,1,19/2019-20-6
inner ( house no 3,1,SP/Ujjain/RI/3411C/2023
street light installation work at sports complex,1,20/2024-25
construction of 3 nos. parking shed at newly constructed administration block for raptc indore,1,20/2022-23
housekeeping services of madhya pradesh police housing,1,13/2023-24
armory workshop repairing,1,1529/23.05.2023 ARMORY WORKSHOP REPAIRING
repair work sdop office bari raisen,2,"07/2020-21, 15/2020-21"
construction work of mahila barrack for district gwalior,1,25/2023-24
concertina,1,04 / 2025-26
construction of four wheeler parking shed at thana parisar,1,NIT 05/2020-21_2
ujjain zone,1,NIT 14/2020-21_4
construction work of mahila barrack at homeguard,3,"20/2023-24 Homeguard Anupur, 20/2023-24 Home Guard Umaria, 20/2023-24 Home Guard Shahdol"
teen shed replace at ashwarohi barrack,1,11/2019-20-1
construction of two room with toilet at drp line parisar,1,11/2019-20-1
non linear junaction detector,1,SB/STORE/2024-25 (205) BHOPAL DATED 19.06.2024
external eletrification,1,20/2023-24
chobara dhira distt. dewas,1,17/2019-20-2
06 no. open bathroom at chowki godri,1,15 / 2020-21
result for external electrification work for 96 constables qtrs shahjahanabad bhopal,1,24/2023-24
construction of chainlink fancing at basketball,1,NIT 05/2020-21_1
result for repairing work of barrack no 65,1,01/2025-26
construction of meeting hall s. p office campus distt morena,1,12/2021-22
unit hospital water proofing,1,1stbn/qm/G-3444
2 no. wtgr,2,"29/2024-25, 01/2025-26"
repairs of thana quarters umraoganj raisen,1,15/2019-20
vishesh shakha vidisha dist vidisha,1,12/2024-25
construction of semi urban thana nawagaon distt. dhar,1,19/2018-19/5
construction of government higher secondary school kanawar district bhind,1,22/2022-23
result for chemical for dna lab of mp,1,PHQ/15/GPC/4033-1/24
toilet for ladies fir room at thana sabalgarh distt morena,1,27/2018-19
toilet for ladies fir room at sdop kailarsh distt morena,1,27/2018-19
sports cap,1,PHQ/14/kitclothing/4580-1/2020
bhander,1,16/2024-25
work of external electrification for 04 ngo 16 constable qtrs. badoni dist. datia,1,36/2021-22
hall- 02,1,"26/2021-22  Annapurna Mess Dining Hall 1,2,3  Kit"
raptc,2,"15/2022-23, 06/2024-25"
48 qtrs at grp line jabalpur.,1,10/2019-20
drainage work of sewer line for ngo,1,3
detailed estimate of repairing for 2 ngo quarters kotwali distt umaria,1,02/2021-22/SP/UMR
h. s. school jamner,1,NIT 22/2021-22_2
02h type quarters shahgarh sagar,1,15/2020-21
female toilet near daksh building at mp police academy bhopal,1,30/2024-25
conscontruction of mahila desk at bijadandi distt mandla,1,01/2019-20/5
external electrification work for construction of 12 ngo 48 constable qtrs police radio indore,1,02/2019-20
protection wall at various camp place khapa,1,13 / 2022-23
construction of store building at sderf dist narmadapuram,1,02/2023-24
sardarpur,1,12/2018-19/39
computer purchase,1,CP/IND/RK/102-A/23
construction of 3 nos. barrack at camp mandwa,1,01/2023-24
construction of proposed renovation of pavilion,1,20/2019-20
country planning suzerainty from police department at south part of s. p. office,1,NIT 14/2020-21_2
construction of urban thana building graha,1,08/2019-20_3
s. p. office,1,05 / 2019-20
construction work of govt. model higher secondary school thubon district ashoknagar ( m. p. ),1,06/2023-24
repairing work of special branch office shivpuri,1,14/2019-20
construction of semi- urban thana at bijuri anuppur,1,09/2019-20
construction of mahila desk ( fir room ) kolgwan dist. satna,1,16/2018-19
construction of semi urban traffic thana building,1,14/2021-22
sanitary repair work of police control room ujjain,1,SP/Ujjain/RI/3529J/2023
electrification work of 10 g type qtrs. at police radio colony bhopal,1,15/2024-25
mahila barrack police line dewas,1,NIT 11/2024-25_3
repairning work in dispatch section,1,04/2025-26
external electrification works of construction,1,18/2022-23 External Electrification Jaisingh Nagar
result for const. of 100 seater kgbv type- iii hostel amarpur distt. dindori,1,06/2024-25 Hostel Amarpur
purchase of table top refrigerated centrifuges,1,FSL /STORE/PMS 2018-19/2019
plumbing work of dcb,1,SP/Ujjain/RI/3408/2023
construction of communication center at mauganj dist mauganj,1,12/2023-24
barrier free work at government college,1,06/2021-22
maintenance work of quater,1,SP/RTM/RI/3594-A/24
construction of homeguard mahila barrack at mandla,1,10/2023-24
depalpur,4,"17/2022-23, 10/2023-24, 02/2021-22, 04/2022-23"
ground leveling work at sport stadium dist. vidisha,1,15/2022-23
19 qtr thana kalapipal dsitrict shajapur,1,01/2024-25
result for auction of serviceable/ unserviceable materials,1,04/2024-25
antiscid tiles,1,04/2020-21
4 ngo qtrs. radio zone indore,1,07/2019-20/1
outer no. 41/ 80 to 80/ 80 at 5 block drp line balaghat ( m. p. ),1,01 / 2021-22
district. mandla,1,14/2020-21
special repair work at thana bhawan dehat,1,28/2022-23
layout of new sheet at parade ground shade. as per estimate,1,QM/B/1124
construction of sumpwell at police line nehru nagar bhopal,1,01/2025-26
gate at thana shadora dist ashoknagar,1,11/2022-23
dismantling work at c. m. rise school jiwajiganj,1,NIT 18/2024-25_1
khilchipur police station at district rajgarh ( mp ),2,"02/2023-24, 18/2022-23"
construction work of 4 nos. additional class rooms at govt. high school kakarwaha dist tikamgarh,1,04/2025-26
repairing/ rennovation work,2,"3257/2024, 2978/2024"
comprehensive annual maintenance of ip based cctv cameras in 863 police stations of madhya pradesh,1,F-222/2021 Date 18/02/2021
mahila desk at thana athner betul,1,15/2018-19
pcr machine,1,No/PHQ/15/GPC/4579-1/2022
distt.- indore,2,"18/2022-23/6, 18/2022-23/4"
outer painting of police colony qtrs e1 to e28,1,06/2021-22
construction of separate room toilet for ladies fir room at thana gaswani distt sheopur,1,09/2019-20
supply of dog foods,1,23RD/bn/saf/pts(dog)/m-2202/19 dt 250519
result for reparing work at different places at dist rewa,1,10/2024-25
result for repair,5,"169F, 111A, 112A, 04/2025-26, SP/Ujjain/RI/113/2024"
nagziri ujjain,1,NIT 07/2022-23_2
repairing work of 12 old ngo qtrs. at drp line katni,1,03/2020-21 Mainteance DRP line Katni
construction of gate,1,01/2020-21/6
construction of road pts campus,1,19/2020-21
tonk khurd,1,NIT 11/2024-25_4
inherent fire retardant coverall suit design ( fire dangri ),1,3688/GROUP-6
construction of male female toilet at soo police,1,01/2024-25 Date 29-11-2024
construction of training hall at police fire station laxmibai nagar,1,04/2020-21/2
v3,1,GEM/2025/B/6193026
plaster radio hq,1,10/2021-22
trainee hostel,3,"15/2022-23, 16/2022-22, 14/2020-21"
commissioning of digital vhf wireless dmr system with accessories on turn_ key basis for mp police telecom,1,F-836/2021 Date 06/10/2021
park at rau,1,20/2021-22
painting work of external walls of 168 qrts.,1,NIT 18/2020-21_1
construction of indoor hall at harda,1,08/2022-23
construction of stp with moter pump at 24 96 qtrs at drp line distt datia phase i,1,18/2019-20
distt.- dhar,1,18/2022-23/7
tender are invited for construction material,1,QM/M/4250/2020
traffic management data centre,1,01/2019-20
construction of police chouki bamabat dist guna,1,08/2020-21
construction of hall at new rfsl building bhopal,1,34/2023-24
repairing work of special branch office with resiidence distt morena,1,14/2021-22
result for reparing work of ngo mess near bajariya thana building,1,164
renovation work at learning centre barrack at drp line harda,1,11/2023-24
adopter for various hand held wireless sets,1,F-650-A/2021 Date 02/09/2021
internal electrification work for woman crime dsp office in cctns distt. khandwa,1,12/2018-19/41
reparing work for police ajk thana office dist. hoshangabad,1,08/2019-20
repairing work of meeting hall at anuppur,1,17/2019-20
tools,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
satpura blocks 15th bn.,1,23/2020-21/04
quarter toilet work,1,30/2024-25
construction work of guard room at pts tigara distt gwalior,1,07/2023-24
labour for construction of judo,1,147/20/31-01-2020
7ahc nimh bty 7. 5v,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
detailed estimate of repairing for go building umaria,1,01/2021-22/SP/UMR
construction of store room at protima malik mahila hospital 7 bn bhopal,1,01/2025-26
please see nit,1,5
mobile face forensics,1,F-891-B/2019 DT 31-12-2019
construction of chowkey kakunpura chhatarpur,1,21/2019-20
03 others chhatarpur,1,50/2018-19
water supply line at ground no. 1 distt. sports academy kampoo,1,32/2021-22
external electrification work for archery arena hostel building technical building,1,01/2024-25
other residential campus of battalion,1,25/2020-21
result for demolition work of dilapidated government residence a block 01 to 04 quarters,1,1466
external electrification work for 48 gos qtrs at 6th bn. rajhi jabalpur,1,06/2018-19
repairing work at central kotwali thana,1,18/2022-23/3
construction,39,"11/2021-22 Govt.Indira Gandhi H.Science College, 13/2021-22 CLIMBING WALL AND BOUNDARY WALL WORK, 06/2021-22, 05/2020-21, 13/2020-21/5, 08/2023-24/3, SP/NDPM/RI/3699-A/2024, 04/2025-26, 01/2021-22, 12/2022-23 Const. Upgradation of 30 to 50 beded, 24/2023-24, 30/2021-22 Const. Upgradation of 30 to 50 beded, 07/2021-22, 08/2023-24, 09/2021-22/2, 3/2022-23, 10/2021-22 Const. and Rennovation Jaisinghnagar, P-316-A, 04/2022-23, 19/2022-23, 08/2022-23 Govt.Higher Secondary School Bannauda, 12/2021-22, 05/2021-22/4, 04/2021-22, 255/25, 05/2022-23, 13/2020-21/2, 09/2021-22/1, 03/2022-23 Const. Upgradation of 30 to 50 beded, 11/2022-23, 16/2021-20 Const. and Rennovation Budhar, 05/2021-22, 02/2021-22, 18/2022-23, NIT 05/2021-22_1, 10 / 2021-22, 13/2020-21/3, 14/2021-22 Govt.P.G. College Beohari, 09/2021-22"
govt. higher secondary school,1,08/2023-24
toilet for ladies fir room at thana mahua distt morena,1,27/2018-19
construction of 150 bedded hospital mch building,1,01/2023-24
construction of c. m. rise school jiwajiganj,1,NIT 20/2023-24_1
construction of urban thana building omti jabalpur,1,04/2019-20
analyzing tool kit,3,"SB/Store/2019-25(179) Bhopal, DT 01-07-19, SB/STORE/2020-25(511) BHOPAL DATED 1-12-2020, SB/STORE/2021-25(141) BHOPAL DATED 17-3-2021"
construction/ repairing work in 14 different police stations/ posts/ administrative buildings of balaghat district,1,07/2024-25
construction of chowkey maheba panna,1,21/2019-20
result for repair work at joint director office public education law cell jabalpur,1,17/2024-25
supply of horse food item- 6th battalion saf jabalpur,1,qm/b/1741/23
external electrification work for naxalite company head quarter pitkona,1,04/ 2021-22
construction of police chowki at nandanbadi distt chhindwara,1,06/2019-20/3
gate at thana mungawli distt ashoknagar,1,03/2022-23
bilhera,1,08/2024-25
f1,1,03/2023-24/1
construction of one room,1,01/2025-26
head constable,1,13/2020-21
construction work of primary school,1,35/2024-25
replace profie sheet at barbar shop,1,20/2019-20-2
5 nos. toilet,1,06 / 2023-24
entrance gate,1,12/2023-24
bathroom at different office,1,DCP/HQ/IND/RI/4948/2024
25/ 2018- 19construction of sewage treatment plant 100 kld stp with motor pump for 24and96 drp line anuppur,1,25/2018-19
operation,2,"SP/PTS/UJJAIN/RI/80-B/19, F-1091/2021  Date 30/12/2021"
supply installation maintenance of roip with accessories for mp police telecom,1,"PTHQ/ Purchase/F-118 /2019, dtd.16/01/2019"
nishatpura,1,12/2023-24
2h qtrs at community health center devrajnagar distt. satna,2,"17/2018-19, 27/2018-19"
construction of mahila desk ( fir room ) barwagan dist. singrouli,1,16/2018-19
running of mess for girls in girlshostel govindpura bhopal,1,1162/24
quarter master store hg bhopal,1,47/2018-19
waiting hall ( plaster repiring,1,SP/Ujjain/RI/114/2024
construction of guest house ( transit room ) for wild life forensic,1,03/2022-23
mahila desk at thana sai kheda betul,1,15/2018-19
construction of semi urban thana building barhi,1,17/2019-20 Barhi
at 25th b. n. campus bhadbhada road bhopal,1,/ HAWK FORCE/QM/ C- 1008
result for external electrification work for control room barwani,1,24/2024-25/2
construction work at 60 beded barrack police line at betul,1,08/2022-23
kits/ chemical/ plasticware/ glassware/ other items,1,PHQ/GPC/15/1924-1/23
construction work of boundary wall at thana khitola,1,19/2023-24 Boundary Wall Khitola Jabalpur
special repairing work at thana kotwali dist. vidisha,1,15/2022-23
khawasa distt. jhabua,1,17/2019-20-12
construction of mahila desk at thana bandol distt seoni,1,14/2018-19/27
2 g,3,"14 / 2018-19, 07 / 2020-21, 21/2020-21 2F,2G,2H Sihora"
special repairing,1,23/2022-23
sever line repairing work of administrative building thana gandhi nagar bhopal,1,16/2020-21
construction of temprory profile sheet 20 seater barrack,1,04/2023-24 Watch Tower and Barrack Gopalpur
6 of 2 manjila line,1,09/2024-25
outer,3,"SP/Ujjain/RI/3406A/2023, SP/Ujjain/RI/3407A/2023, SP/Ujjain/RI/3411C/2023"
construction of interogation room,1,NIT 10/2020-21_1
revovation work of major dhyanchand stadium dist betul,1,05/2019-20
purchase of vortex shaker,1,FSL /STORE/PMS 2018-19/2019
waterproofing work at police station building kalukheda district ratlam.,1,SP/RTM/RI/1792/23
works of paver block in front of police welfare center 7th bn,1,7thBn/saf/Samagri Adhyaskya/28/2020/16/1/2020
construction of urban thana building gohalpur,1,17/2019-20 Gohalpur
external electrification work 12 08 32 rajghat sagar,1,55/2018-19
construction of stp with moter pump at 8 12 48 qtrs at fatehpur road distt shivpuri 50 kld,2,"10/2021-22, 18/2021-22"
construction of mahila desk thana bhagwa,1,50/2018-19
12 ngo,4,"12/2020-21 Khargone, 70/2018-19, 10/2019-20/2, 12/2020-21 Burhanpur"
result for repairing work of ngo officer mess,1,02/2025-26 (2) Repairing Work of NGO Officer Mess and Sulabh Complex Toilet at Commandant C.T.I.
construction of mahila desk at thana nasrullaganj sehore,1,18/2018-19
external elect. works of govt. h. s. school sukulpura,1,32/2023-24 Elect. Sukulpura
at grp office indore,1,29/2022-23/1
f3 ) at sadar bazar police line,1,03/2023-24/1
proposed construction of shed,1,01/2020-21/5
mosquito net ( medicated ),1,CO/HF/BGT/QM/M-3520/23  DATE-09/08/2023
construction of various work at grp indore,1,11/2018-19
repairing work of wc,1,05/2019-20/2
2no. wtgr,1,04 / 2025-26
construction of government higher secondary school chomho,1,17/2022-23
construction 01 no. septic tank at thana lanji,1,11 / 2021 - 22
painting work of ngo block behind police thana campus mhow kotwali,1,21/2024-25/4
block dropadi,1,01/2024-25
purchase of table top refrigerated mini centrifuges,1,FSL /STORE/PMS 2018-19/2019
various construction work at govt. h. s. school dhabla madhosingh distt. mandsaur,1,NIT 02/2023-24_3
residential bulding block- h,1,SP/Ujjain/RI/3410B/2023
renovation work of lobby,1,41/2024-25
levelling of parade ground at anuppur,1,02/2021-22
4th call for video wall,1,F-967/2022  Date 13-12-2022
construction of sewage treatment plant 100 kld ( stp ) with motor pump for 24ngo 96cons qtrs distt singrouli,1,12/2021-22
sabalgarh dist. morena. ( cm rise scheme ).,1,27/2022-23
gangotri hostel,1,03/2024-25/2
other general repair works.,1,169I
painting work ( constable qtr.,1,03/2025-26
repairing work at diffrent quarters drp line rajgarh ( mp ),1,03/2024-25
sewage line repair work in vikramaditya barrack bhawan located in police line,1,169G
1 repairing work of flooring kotastone/ painting work barrack no 03 at 5 th bn morena 2 repairing work of gate no 01 to police officers mesh pipe line at 5th bn morena,1,19/2020-21
external painting work,1,01/2024-25
kitchen,1,03/2024-25
pvc false celling,1,11 / 2023-24
repair work of administrative building at p. t. s.,1,NIT 11/2024-25_5
ajk thana,1,01/2024-25
2x315 kva sub station work at 100 bedded hospital govindpura,1,05/2023-24
construction of mahila desk thana kumhari 06 others damoh,1,50/2018-19
bansukli,3,"22/2018-19_10, 12/2019-20_1, 26/2019-20_1 bansukli"
drivers at officers mess 2nd bn gwalior,1,15/2019-20
sulawad,1,17/2024-25/1
renovation f,1,10/2021-22
laying,1,37/2024-25
installation of cctv surveillance system at hon. cm house bhopal,1,SB/STORE/2023-25 (221) BHOPAL DATED 7.8.2023
construction of semi urban thana porsha distt morena,1,26/2019-20
traffic education centre at sirol gwalior,1,14/2020-21
construction of separate room toilet for ladies fir room ) at thana atretha distt datia,1,25/2019-20
construction of semi urban thana building khaniyadhana shivpuri,2,"01/2020-21, 16/2019-20"
const. work in old police thana brijpur distt. panna,1,2040
general,3,"1534/02/2024/01, 121/2025/07, SP/MRA/RI/Store/570/2023"
1 repairing work in qtr no 01 05 10 11 13 15 17 18 at 18 ngos colony distt bhind 2 repairing work of roof grading at ngo double story awash grah 01 12 14 at drp line distt bhind 3 repairing work of usha colony qtr no 01 02 03 at drp line distt bhind,1,15/2020-21
construction of 02 f,6,"01/2020-21, 15/2019-20, 05/2019-20/2, 06/2020-21, 05/2019-20/9, 11/2019-20"
female wash room officers mess bhopal,1,02/2019-20
providing,13,"31/2018-19, 13/2022-23, 21/2023-24, 13/2021-22, 40/2023-24, 27/2023-24, NIT 09/2024-25_1, 15/2024-25, 04/2019-20/1, SPHQBPL1780, 10/2021-22, 22/2018-19, 34/2022-23"
drone ( uav ),1,SB/STORE/2021-25(141) BHOPAL DATED 17-3-2021
construction of community hall d. r. p. line dhar,1,5/2022-23/1
purchase of u v spectrophotometer with accessories,1,No.  FSL /STORE/PMS 2017-18 (4th)/2019
district dhar,1,04/2022-23
borewell pump at policecamp amanala,1,04 / 2025-26
aryavrat hostel at police training college,1,03/2024-25/2
design supply installation,3,"F-362/2021  Date 19/03/2021, F-836/2021 Date 06/10/2021, F-1062/2021  Date 22/12/2021"
construction of various works at r. a. p. t. c.,1,11/2023-24
thana baikunthpur,1,10/2024-25
sabakheda distt. mandsaur ( 11/ 0. 433 kv,1,NIT 25/2023-24_1
dairy printing,1,DCP/HQ/IND/RK/254/2025
construction of boundary wall gate for semi urban thana pahadgarh distt morena,1,01/2022-23
construction of mahila barrack home gaurd,3,"NIT 19/2023-24_3, NIT 19/2023-24_1, NIT 19/2023-24_2"
repairing of radio range office hoshangabad.,1,02/2020-21
02 h type qtrs at community helth center dhanora distt chhindwara,1,06/2020-21
48 constable qtrs. at burhanpur,1,12/2020-21 Burhanpur
proposed acp office sarafa,1,05/2023-24/4
smps,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
repair work at ajk thana,1,05/2019-20
gwalior. 2. govt. higher secondary school,1,19/2022-23
sewage line toilet renovation 10th batt sagar,1,08/2019-20
sewer line development work hg bhopal,1,23/2021-22
filling work at tukoji rao pawar khel parisar,1,NIT 11/2020-21_4
result for special repairing work at thana ichhawar & amp # x0d dist. sehore,1,15/2022-23
construction of police chowki at newton distt chhindwara,1,06/2019-20/6
result for proposed toilet 20wc,1,13/2024-25
construction of water ramp at police line,1,11/2019-20-4
construction of cm rise school at akodia mandi dist. shajapur.,1,19/2022-23
office chair,1,GEM/2025/B/6193026
officer residence,2,"29/2024-25, 01/2025-26"
construction of s. t. p. with motor pump at 24 plus 96 qrts.,1,35/2018-19
1h qtrs at community health center mukundpur distt. satna,2,"17/2018-19, 24/2018-19"
sesaipura,1,12/2020-21
different type construction works,3,"10/2021-22, 12/2021-22, 11/2021-22"
repairing work of qtr no 1 2 3 4 5 67 at myana disst guna repairing of thana prabhar quarter at myana disst guna,1,19/2019-20
construction of shed at terrace of rfsl building bhopal,1,14/2021-22
108 service,1,PTHQ/Purchase/F-145-C/2019
piploda distt. ratlam,1,01/2019-20-3
lead,1,13/2021-22 CLIMBING WALL AND BOUNDARY WALL WORK
inner outer colour,1,SP/RTM/RI/1890/23
reparing work at home guard barrack,1,24/2022-23
devarbeli,2,"02/2023-24, 14 / 2022-23"
50 bedded critical care health block at rajgarh distt. rajgarh ( m. p. ),1,01/2023-24
sainetry work unchera distt. satna,1,08/2020-21
niwali distt. badwani,1,39/2018-19
construction of women barrack at home gauard satna,1,06/2023-24
big screen monitor/ tv,1,DCP/HQ/IND/RK/186/2024
construction of semi uraban thana dehat hoshangabad.,1,16/2018-19
general repair works of various residential buildings at police line morena,4,"1744/2024/04, 234/2025/09, 1534/02/2024/02, 891/2024/02"
construction of samudayik bhavan at amarpur block manpur distt.- umaria,1,25/2021-22 Samudayik Bhavan Amarpur
borewell for water supply arrangements at police chowki tatary district mandla,1,12/2020-21
12,4,"17/2018-19/2, 12/2020-21, SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020, 08/2020-21 External Electrification Katni"
officer room at thana bichiya district mandla.,1,02/2021-22
selection ) at phq bhopal,1,40/2024-25
construction of govt hss makodi dist shajapur,1,02/2023-24
residential bulding block- i,1,SP/Ujjain/RI/3410C/2023
const. work in old thana raipura distt. panna,1,2041
conscontruction of mahila desk at thana chichili distt narsinghpur,1,01/2019-20/1
agra distt sheopur,2,"03/2020-21, 02/2024-25"
ajk neemuch,1,22/2018-19
upgradation/ renovation work for blood bank at district hospital morar,1,15/2024-25
result for dashpure block police line mandsaur,1,1777/10.06.2023 DASHPURE BLOCK POLICE LINE MANDSAU
items,1,4728
repairing work of roof for crpf barracks,1,16/2020-21
camouflage dangri,1,"PHQ/HAWK FORCE/QM/C-1006/BHOPAL, DT. 04/11/2019"
water proofing guard room renovation radio hq,1,003/2021-22
result for miscellaneous items store 02 part 02,1,SP/PTS/MT/MOD/283/2024
construction of sever line,1,03/2021-22
construction work of boundary wall near mahila hostel at p. r. t. s. indore,1,09/2020-21/4
repairing work sewer line,1,09 / 2021-22
construction of fortified of vulnerable police station at lodangi,1,09/2024-25
construction work of boundary wall with chain link at police thana sabhapur distt satna,1,05/2022-23
repairing renovation work for thana chilwani magardha baduada distt sheopur,1,02/2024-25
construction of toilet,3,"47/2018-19, 22/2023-24, SP/Ujjain/RI/84A/2024"
chowki at chowki godri distt. balaghat,1,14/2020-21
construction of c. m. rise school bhanpura distt. mandsaur,1,NIT 25/2022-23_1
renovation work petc sagar,1,001/2022-23
construction of barrack at shahganj sehore,1,25/2018-19
( chunabhatti ) police line,1,22/2024-25/1
repairing work of thana building saray chhola morena,1,19/2020-21
construction of semi urban thana building barohi distt bhind,1,03/2021-22
water proofing work h- type,1,06/2025-26
horticulture work hg bhopal,1,009/2022-23
construction of head office sisf phq bhopal,1,20/2020-21
construction of semi urban thana sumawali distt morena,1,26/2019-20
result for integration of dial 100 with nss- 112 portal,1,D-2278/2025 date 06/02/2025
construction work of store room sderf home guard darikhana distt. jabalpur,3,"26/2023-24 Home Guard Darikhana, 05/2023-24 HOME GUARD SDERF, 15/2023-24 Home Guard Darikhana Jabalpur"
semi urban thana silwani raisen,1,12/2019-20
sumpwell construction pts campus,1,17/2020-21
construction of highway check post,4,"13/2021-22/2, 40/2018-19, 13/2021-22/1, 19/2021-22"
supply for 6 qty server for mp police,1,187/20
saf barrack,1,01/2024-25/4
construction of late bath in district registrar office s. p. office parisar neemuch,1,17/2018-19
tiles work,1,SPHQBPL1780
02f02g02h qrs chc bijawar chhatarpur,1,52/2018-19
epabx,1,SB/STORE/2022-25 (302) BHOPAL DATED 18.10.2022
repair lat- bath door,1,15/ 2024-25
khargone.,1,23/2021-22
external electrification work for 24 qtrs drp line vidisha,1,11/2021-22
